type,measure,ICC,F,df1,df2,p,lower bound,upper bound,10%,90%
ICC2,67_23,0.34800169501521894,2.149325550989208,87,87,0.01085018346982016,-0.1780435181032913,0.721456660039932,0.4935457086699295,0.23645659472256308
ICC3,67_23,0.34931769242982075,2.149325550989208,87,87,0.01085018346982016,-0.1803388469231049,0.7228695769382781,0.49147839561616713,0.23392062370471767
ICC2,67_24,0.1534923647286075,1.4006206567419028,87,87,0.1463586065411366,-0.3690827869205597,0.6055375915976574,0.29949901212460805,0.02651700695225919
ICC3,67_24,0.15449172631896493,1.4006206567419028,87,87,0.1463586065411366,-0.37366818039535,0.607619438148361,0.29941703690643434,0.02574727369750396
ICC2,67_25,0.12651734872722473,1.3227527184517505,87,87,0.19553023073486225,-0.3938360558628772,0.5881636603430074,0.24422959484894627,-0.01449287176429554
ICC3,67_25,0.1270886392625029,1.3227527184517505,87,87,0.19553023073486225,-0.3976497310184393,0.5897551907424109,0.24422959484894627,-0.01467023588112019
ICC2,67_26,0.32245617679041993,2.014100076547367,87,87,0.01191481523090452,-0.20630608558699695,0.7076649246103582,0.4719412603737973,0.2327902130373403
ICC3,67_26,0.32387938564744834,2.014100076547367,87,87,0.01191481523090452,-0.2092815757925148,0.7093584530019539,0.47078509433682314,0.231391155922343
ICC2,67_27,0.20809724550059103,1.56697611018079,87,87,0.07391594939492599,-0.32036659398421197,0.6404149828930349,0.3504834437866906,0.10445681361611547
ICC3,67_27,0.20923786736118472,1.56697611018079,87,87,0.07391594939492599,-0.324203618418559,0.6422991208130392,0.3497269825801095,0.10184435890664124
ICC2,67_29,0.2091281679486484,1.5870471241650623,87,87,0.08755156408746471,-0.3170959715125175,0.6400710820436525,0.36298610280692634,0.06177152008665049
ICC3,67_29,0.2105417301654876,1.5870471241650623,87,87,0.08755156408746471,-0.32113414667297335,0.642183390248843,0.3614523441723231,0.05972067451778665
ICC2,67_3,0.4075678780262571,2.500463824245835,87,87,0.00267231611938341,-0.10805255541839202,0.7531326896381516,0.5531907342933662,0.3031208619071715
ICC3,67_3,0.4126531680007436,2.500463824245835,87,87,0.00267231611938341,-0.10767872809169424,0.7565317293155317,0.5514673174267206,0.2999920219023336
ICC2,67_30,0.14541458945355656,1.3696116845949362,87,87,0.14909160707087413,-0.3783958961724687,0.6011450671535746,0.2816258289801209,0.03909530226678669
ICC3,67_30,0.14612192026126083,1.3696116845949362,87,87,0.14909160707087413,-0.38194901736083586,0.6027207502853048,0.28154656172777737,0.03646303326942246
ICC2,67_31,0.22490236854791124,1.6289122500803102,87,87,0.06038178116651319,-0.30189300163752414,0.6499875635170098,0.361703152666352,0.1081440943343162
ICC3,67_31,0.2266009318454135,1.6289122500803102,87,87,0.06038178116651319,-0.30741292611796606,0.6527384572369941,0.3614046702359427,0.10459254201260568
ICC2,67_32,0.20148519525432243,1.5544930841420488,87,87,0.08989799745367649,-0.32329431657947716,0.6352404406911152,0.3624656960378364,0.07754784669371106
ICC3,67_32,0.20324016654778584,1.5544930841420488,87,87,0.08989799745367649,-0.3288905368769638,0.6380931564872614,0.3614510229200938,0.07324890739843376
ICC2,67_33,0.19534775971669788,1.5313609536170036,87,87,0.09488672001603608,-0.33204900136064736,0.6321990882110861,0.3450893193925937,0.06756513554470756
ICC3,67_33,0.19618182755690824,1.5313609536170036,87,87,0.09488672001603608,-0.3355213146006358,0.6337942238784898,0.3450499351509546,0.06630769701869646
ICC2,67_34,0.27504254930505895,1.817468146540983,87,87,0.02778852981204582,-0.25349571185597625,0.680193733805523,0.40403567615542546,0.16569436419015876
ICC3,67_34,0.2772319928344453,1.817468146540983,87,87,0.02778852981204582,-0.25759406938567947,0.6827672571325529,0.4027741439671674,0.1612398385798811
ICC2,67_35,0.316966766730458,1.985692263445768,87,87,0.01189994230993872,-0.21238210576065825,0.7046792258725836,0.447881987272179,0.21708777661602657
ICC3,67_35,0.3183107384848287,1.985692263445768,87,87,0.01189994230993872,-0.21551952739884772,0.7063735287115991,0.44788198719319494,0.2165395025707283
ICC2,67_36,0.22982232953996037,1.6492750776929297,87,87,0.05779415494784041,-0.2974167276951118,0.653043489961834,0.3628833395197638,0.10214070742857592
ICC3,67_36,0.2316321004956678,1.6492750776929297,87,87,0.05779415494784041,-0.3022957100253814,0.6556509730890044,0.36215635585823913,0.10077324737981164
