type,ICC,F,df1,df2,p,lower bound,upper bound,measure
ICC2,0.1497870303960266,1.3523517889071885,33,33,0.195217299003927,-0.5682804333575722,0.7397182601111005,117_5
ICC2,0.23419355759126134,1.6834513480406754,33,33,0.06990144898544319,-0.41737565088217066,0.7662630068622421,117_6
ICC2,0.32052419625665474,1.9434455045811303,33,33,0.030241973073755975,-0.43080278557764157,0.8111090359410472,117_7
ICC2,0.39809172819073513,2.3325844275529612,33,33,0.008657079508917856,-0.3485990032704188,0.8389342040244195,117_8
ICC2,0.1773383468610093,1.4311331304036947,33,33,0.15406536400156692,-0.548399755855577,0.7521902725772103,117_9
ICC2,0.29209511038054375,1.8252382902385755,33,33,0.04431614313454079,-0.456283990102881,0.8001395111737598,117_10
ICC2,0.26568354415365614,1.723621381594778,33,33,0.0614645863349266,-0.4789416200160369,0.789640192788308,117_11
ICC2,0.2847505572379757,1.7962272746089145,33,33,0.04866367823643716,-0.4626798974449793,0.7972502185766926,117_12
ICC2,0.4507186323733137,2.6411211409582727,33,33,0.0032916224769733425,-0.2970769469404628,0.8573466491473467,117_13
ICC2,0.146115634534052,1.3580147476906055,33,33,0.19196614734377238,-0.5260916034246745,0.731287992882212,117_14
ICC2,0.21861749817475631,1.5595658917064963,33,33,0.10352559027709679,-0.5170882296677609,0.7701531221081591,117_15
ICC2,0.43212805168317125,2.521920753310664,33,33,0.004766206260179456,-0.3181065942248922,0.8511182789974951,117_16
ICC2,0.1481194812569574,1.3477470795446973,33,33,0.19789597405283135,-0.5694589605983666,0.7389504906408986,117_17
ICC2,0.356531363505319,2.108154596151062,33,33,0.017763138937879765,-0.39677330094956925,0.8245316984702941,117_18
ICC2,0.4265497716739982,2.4876610059319355,33,33,0.00530566156385705,-0.32427866194108007,0.8492263778042455,117_19
ICC2,0.35837167744997184,2.117069383800555,33,33,0.017260165600854367,-0.3949782869643435,0.8252040680975834,117_20
ICC2,0.2734151466701016,1.752603485792623,33,33,0.05600172466797171,-0.47240625006063847,0.7927452235087794,117_21
ICC2,0.37475520723048744,2.1987471517212156,33,33,0.013274014549378614,-0.3787474247398499,0.8311329519619773,117_22
ICC2,0.37082299484007103,2.1787557135716122,33,33,0.014153687962473465,-0.38268461231730905,0.8297192287809748,117_23
ICC2,0.40672140636506243,2.371097527295349,33,33,0.007661205146110798,-0.3457223712704398,0.842413573469161,117_24
ICC2,0.20517409147994603,1.5162742917174783,33,33,0.11852878057546487,-0.5274951086804455,0.7643955646047188,117_25
ICC2,0.4275057002987898,2.4934845657743976,33,33,0.005209703933861385,-0.3232254064289486,0.8495513488846885,117_26
ICC2,0.23335744813503065,1.626085231915641,33,33,0.08391476815006363,-0.47868932874262415,0.7732041384523537,117_27
ICC2,0.1958287948212826,1.5396371711587218,33,33,0.11019662560674696,-0.4470502922859032,0.7484697698946832,117_28
ICC2,0.27021044263171207,1.7405160577803218,33,33,0.05821992164970586,-0.4751247218576266,0.7914614080206601,117_29
ICC2,0.1917590468882311,1.4745096029839837,33,33,0.13489606623966557,-0.5376759148147988,0.7585618774755579,117_30
ICC2,0.1917225453031526,1.4743978548184549,33,33,0.1349425222987188,-0.5377033438884361,0.7585458822624842,117_31
ICC2,0.16774632297614375,1.4045221112352335,33,33,0.16701012484403288,-0.5517434572216603,0.7473899031844231,117_32
ICC2,0.23259433062035853,1.6451928825665645,33,33,0.07897144622852807,-0.45102545287616164,0.769450360478966,117_33
ICC2,0.30598018176558794,1.8817620878777512,33,33,0.036919245507721056,-0.4439850471912904,0.8055392184725817,117_34
ICC2,0.20672693392086944,1.5211999324232621,33,33,0.11672472605146174,-0.5263035962529699,0.7650651043759187,117_35
ICC2,0.37696842613790543,2.2107587515066647,33,33,0.012772452493268313,-0.37604176291256075,0.8318876726072423,117_36
ICC2,0.21700193111051436,1.5542847159719944,33,33,0.1052555134381622,-0.5183499229049375,0.7694658227436806,117_37
ICC2,0.0917974177759067,1.2062563101770254,33,33,0.2966145229673739,-0.5864022839142462,0.7085367405241203,117_38
ICC2,0.31766441688097496,1.9311090458712377,33,33,0.03147322017239127,-0.4334195460087063,0.8100207155802945,117_39
ICC2,0.30117076111807267,1.861929479653492,33,33,0.03936355778840328,-0.4482761954556135,0.8036780892392856,117_40
ICC2,0.22778365657963445,1.594060297334998,33,33,0.09286928836633017,-0.502883214191882,0.7732001058698389,117_41
ICC2,0.3324826177717489,1.9961766591539831,33,33,0.02550009258109237,-0.41972637475392394,0.8156240161729837,117_42
ICC2,0.3137857427866525,1.914541601759824,33,33,0.033205890553254555,-0.4369491365800066,0.8085392927186693,117_43
ICC2,0.20010306710938255,1.500322126217593,33,33,0.12455059262123387,-0.5313671804382105,0.7622008429603345,117_44
ICC2,0,1,33,33,0.49999999999999856,-0.664249382253351,0.6642493822533512,117_45
ICC2,0.2527265674964462,1.6763965009427637,33,33,0.0714946858027385,-0.4897190081081946,0.7843769236352445,117_46
ICC2,0.17227005815710547,1.4162470597754884,33,33,0.161191184151417,-0.5521158275967397,0.7499256911961805,117_47
ICC2,0.3631169969683246,2.1402941992165707,33,33,0.016016556991849874,-0.39032381133543975,0.8269318039199897,117_48
ICC2,0.4302036516235306,2.5100260043761855,33,33,0.004946781969884558,-0.32024290401316186,0.8504668220400495,117_49
ICC2,0.4155712691134155,2.422145240816582,33,33,0.006519499505870609,-0.3362456203138456,0.8454713832336083,117_50
ICC2,0.42077135907419994,2.4558589591938706,33,33,0.00586277702981922,-0.32888571752137724,0.8471324032997927,117_51
ICC2,0.09744663137607852,1.215935444456752,33,33,0.28880018521652145,-0.6040032322717612,0.7148854513255046,117_52
ICC2,0.3593727701712765,2.1219403529486485,33,33,0.01699146807168536,-0.39399948096502685,0.8255692765618227,117_53
ICC2,0.32099349771326197,1.945479893439104,33,33,0.0300436075489282,-0.43037219292135964,0.8112873150891501,117_54
ICC2,0.27223283810810506,1.7481316892628456,33,33,0.05681255830299295,-0.4734107647924491,0.7922721125507701,117_55
ICC2,0.3716502101703263,2.1829405224482694,33,33,0.013964761169761222,-0.38185854914943473,0.8300171143497761,117_56
ICC2,0.11373025167706642,1.256649291916542,33,33,0.2576790091951766,-0.593163079503548,0.7227769273237495,117_57
ICC2,0.3255299301755598,1.9652909587531229,33,33,0.02817871732372537,-0.42619279014946126,0.8130060111265324,117_58
ICC2,0.3828767269594453,2.241003817956568,33,33,0.011593344686454754,-0.3704160336869527,0.8340254569229256,117_59
ICC2,0.2540393602322121,1.68110660720998,33,33,0.07042712972095028,-0.48863686640468473,0.7849136354099537,117_60
ICC2,0.24859505018688757,1.6900103728134628,33,33,0.06845102263271415,-0.4550473001416322,0.7783443480888442,117_61
ICC2,0.16043247139898933,1.3821837236743792,33,33,0.17861547156906832,-0.5606775540682019,0.7445826969357138,117_62
ICC2,0.2069600783731187,1.5219411349394631,33,33,0.11645547671561057,-0.5261244672735478,0.7651655277576712,117_63
ICC2,0.20886142200422272,1.52800211698269,33,33,0.114275370431936,-0.5246613078887657,0.7659835102572828,117_64
ICC2,0.1858338291740945,1.4565009842783843,33,33,0.14257431260575,-0.5421093510090167,0.7559566440067184,117_65
ICC2,0.4770064599423642,2.824139012844389,33,33,0.0018820476389691603,-0.26607281831519025,0.8659573167557213,117_66
ICC2,0.14990476808621286,1.3526775883029787,33,33,0.19502896832192324,-0.568197118443998,0.7397724121299663,117_67
ICC2,0.261515061277516,1.7082475155544103,33,33,0.06456973895635912,-0.4824325597367697,0.7879551210275901,117_68
ICC2,0,1,33,33,0.49999999999999856,-0.6642493822533511,0.6642493822533511,117_69
ICC2,0.37147938000247843,2.1820753947704796,33,33,0.01400360657475165,-0.38202924552168216,0.8299556190766623,117_70
ICC2,0.19652989922298145,1.4892027694196004,33,33,0.1289141109363341,-0.5340782286854621,0.7606467641745227,117_71
ICC2,0.196077466318228,1.4944105145201942,33,33,0.12685319005854942,-0.5207682320887044,0.7586876080439179,117_72
ICC2,0.05217531764263108,1.110094870166932,33,33,0.38297907561172206,-0.6329335624006941,0.6921141372186365,117_73
ICC2,0.14272140016911547,1.3329638700820716,33,33,0.20671114538991475,-0.5732551425473305,0.7364548245405604,117_74
ICC2,0.22058537440691706,1.5660283170567044,33,33,0.10144513061635271,-0.5155472724949877,0.7709886121374014,117_75
ICC2,0.19999013449758926,1.4999691707804867,33,33,0.12468697870975491,-0.5314530830115535,0.7621518218591468,117_76
ICC2,0,1,33,33,0.49999999999999856,-0.6642493816217332,0.6642493821259265,117_77
ICC2,0.1715802276107837,1.4294861831165724,33,33,0.1548395586125239,-0.5168339639618664,0.744613126155302,117_78
ICC2,0.3085333909551597,1.9179392764724046,33,33,0.03284295761468991,-0.4169856932592407,0.8041449954536402,117_79
ICC2,0.12083047705725948,1.27487412587465,33,33,0.24465036365695175,-0.5883607225861461,0.7261702502357446,117_80
ICC2,0.10415742504724632,1.2325351081974185,33,33,0.27577200506318195,-0.5995647119537038,0.718156286864887,117_81
ICC2,0.17160217232401756,1.414298943898157,33,33,0.16214527646010818,-0.5526036366842824,0.7496262997695623,117_82
ICC2,0.25160143549312375,1.695867837586296,33,33,0.06718039721344417,-0.4589743698807287,0.7803435712338064,117_83
ICC2,0.3927272850215246,2.3034847666175473,33,33,0.009496884217791482,-0.35384397103436305,0.8370172506587025,117_84
ICC2,0,1,33,33,0.49999999999999856,-0.664249382253351,0.6642493822533511,117_85
ICC2,0,1,33,33,0.49999999999999856,-0.6642493822533511,0.6642493822533511,117_86
ICC2,0.1030119956914143,1.2296981326683663,33,33,0.2779652928370784,-0.6002594146534828,0.7175893693583035,117_87
ICC2,0.21727184390345616,1.5551655251217442,33,33,0.104965116276788,-0.5181393437278049,0.7695807370432316,117_88
ICC2,0.34416334823357525,2.0495398429063356,33,33,0.021460912948151483,-0.4086932665812095,0.8199789312882211,117_89
ICC2,0.3383206666512537,2.022612161510378,33,33,0.023411489468023093,-0.4142388382931254,0.8178073690246119,117_90
ICC2,0.2663822720853265,1.7262154730193722,33,33,0.060955172566634866,-0.4783542389005542,0.789921890165309,117_91
ICC2,0.33870613297672897,2.0243740335937814,33,33,0.0232785687636945,-0.4138746370222609,0.8179510516227301,117_92
ICC2,0.20039217201711182,1.5012261386250467,33,33,0.12420190059045767,-0.5311472062398959,0.7623263070848094,117_93
ICC2,0.18028180670306068,1.439862889898686,33,33,0.15001969058186637,-0.5462290472341028,0.7534993859880211,117_94
ICC2,0.12435875605252736,1.296142432919899,33,33,0.23013527128761427,-0.5436969148539778,0.7211449357440275,117_95
ICC2,0.31339655541572575,1.9128895535867199,33,33,0.03338380201504915,-0.4373020650754665,0.8083903048493638,117_96
ICC2,0,1,33,33,0.49999999999999856,-0.6642493822533512,0.6642493822533512,117_97
