measure,icc_mean,icc_sd,lower_bound,upper_bound
100_21,0.26341218173321823,0.07934863462335195,-0.18951058932201345,0.6283952876081524
100_22,0.3671009995597187,0.09850970564898542,-0.08253932149714317,0.6941729087610651
100_23,0.31449800948297796,0.08910251551954744,-0.14059994627041628,0.6621199792511548
100_24,0.3181657416177703,0.09459386014400935,-0.13391554703810768,0.6635565539752736
100_25,0.2754723873817126,0.09221488845726403,-0.17924085375916118,0.6362904218959271
100_26,0.300525472170572,0.08730721040470203,-0.15703203878983987,0.653699782320901
100_27,0.31227692057138073,0.10264831886059829,-0.14261607079645555,0.6602630592943632
100_28,0.3108607559015599,0.11014343186281961,-0.14294869692191658,0.6588996847653045
100_29,0.24877540671248724,0.10186156679763238,-0.20342052423361087,0.6179960371973839
100_3,0.3760499689634717,0.09101879213268282,-0.07112585771754579,0.6995463375230437
100_30,0.33650104807663006,0.11450391284325663,-0.1149056442643734,0.674655020328024
100_31,0.27462671242005476,0.09411880044048326,-0.1777649056638321,0.6352620239223655
100_32,0.2899140443842705,0.1221247702338816,-0.16328934137070203,0.6448431040147162
100_33,0.1705206071111201,0.09456636337294683,-0.2855569529482824,0.566562054623204
100_34,0.24363416801917961,0.08891371814198352,-0.21224569505237093,0.6157364263731044
100_35,0.19114621986570207,0.10298121169701138,-0.26217260935923875,0.5794221569628775
100_36,0.3046123520468417,0.09639190227217367,-0.15017064848977676,0.6555562570489653
100_37,0.24424692683805804,0.08130320863937127,-0.21440250584782547,0.617216137062866
100_38,0.2614123875848213,0.09384674894272761,-0.19789530269626135,0.6283460918120225
100_39,0.12313284633341244,0.08039377273902801,-0.33310884347235103,0.5342561829767715
100_4,0.34949717201400016,0.10570114107020685,-0.10169271613078744,0.6831313628923382
100_40,0.22030627149921184,0.08557572972622265,-0.2363640226579208,0.6006795060041488
100_41,0.1530515073202894,0.09413403952767703,-0.3035826631679257,0.5546654348516398
100_42,0.33049782367480107,0.0777864837691522,-0.1227455724377413,0.6722153298921995
100_43,0.26697614739812453,0.09988289413490571,-0.19229491145052294,0.6318806426357119
100_44,0.3571284460675379,0.08800047993707581,-0.09338549086864849,0.6883492845826348
100_45,0.1790125604459904,0.0832454463994511,-0.2780275850796,0.5729118824067874
100_46,0.3006649377633013,0.104543964772445,-0.1553974609046144,0.6530277801838131
100_47,0.2554385907855016,0.10401714217649634,-0.19527437395574493,0.622070601380493
100_48,0.25886533821261015,0.12078361975082133,-0.1954024145655066,0.624726391041546
100_49,0.23731091235430082,0.09625258986043643,-0.22340965260864135,0.6128083642857521
100_5,0.057524852651857486,0.0742634786642225,-0.38921626381673635,0.4850820416111257
100_50,0.17284906162734845,0.10528432856215499,-0.2832426902751682,0.5678063237854327
100_51,0.20082678105614588,0.11196161943182852,-0.2534398203089713,0.58599099268799
100_52,0.2579159571893506,0.08237063356915661,-0.20094205612859195,0.6262587313806557
100_53,0.0938929479416497,0.08661258670776091,-0.35799147252406466,0.5122434498631135
100_54,0.2743324878968921,0.08564545559207824,-0.18297121057465443,0.6366248233907797
100_55,0.30579738872119205,0.09526149803686564,-0.14292864160579002,0.6556563352488963
100_56,0.3469956013888743,0.0785713073041372,-0.10245585368417458,0.68205544572732
100_57,0.06964675384719592,0.08310052469528614,-0.37446472748364,0.49240447256530095
100_58,0.2951679490848067,0.08954321802831104,-0.15687990085098324,0.6492344882284935
100_59,0.3131508840268272,0.07821023424776742,-0.14277027851036364,0.6615470000453774
100_6,0.20914265715787064,0.09468669489810144,-0.25017785309713725,0.5936607870307431
100_60,0.2238156821784374,0.09393151386564823,-0.23331249836933415,0.6027779017048566
100_61,0.3567542679269773,0.10500266353976125,-0.09305747964961607,0.6875601804985454
100_62,0.25117901992269165,0.09121128883156822,-0.2076369850576851,0.6216185618255403
100_63,0.3349555350465379,0.10163980328058515,-0.11822756229425611,0.6744994822975475
100_64,0.4199001783608858,0.10913950878768816,-0.01901255547339746,0.724669460772961
100_65,0.3059415759360466,0.08932296801217733,-0.14524455883782916,0.6558575510937693
100_66,0.3834522807934629,0.08674451612622373,-0.06511418943512065,0.7044615989586652
100_67,0.28968894843370563,0.1299471782652566,-0.1609887747028571,0.6437307802670179
100_68,0.323161414235549,0.08857633533814561,-0.1317669570572696,0.6676439824183373
100_69,0.3235052789989659,0.09495207846754834,-0.1313306464459528,0.6676482326317938
100_7,0.36703335766167183,0.07982965473329602,-0.08225451116638427,0.6944741461257276
100_70,0.37107608155897437,0.08609793212439708,-0.08185961038035527,0.6983504640620137
100_71,0.17767984895780164,0.10363370680847042,-0.27974188398895855,0.5715166017529277
100_72,0.12958625811578164,0.09652128896561302,-0.3209904138068454,0.5364349185073324
100_73,0.30200977587820377,0.09550700155356188,-0.15356699948804883,0.6539846158002883
100_74,0.2660394300282405,0.09041901594837269,-0.1925801889959904,0.6313487245114104
100_75,0.3528589829409242,0.08452573574032997,-0.09917834576581248,0.6859487295978824
100_76,0.30857268912681896,0.13545400362471036,-0.14154305152017452,0.6557675441690518
100_77,0.18184851887404585,0.10416047993743123,-0.2762204104768936,0.5746346661742797
100_78,0.26514564486554165,0.09375604631277953,-0.18529547031643231,0.6286947938665121
100_79,0.32242704185205695,0.11238313080797079,-0.13083264396005093,0.6661310467834937
100_8,0.31545701602160914,0.09333531885587423,-0.13870362134642364,0.6624716606258017
100_80,0.29096242116760446,0.08835908814749496,-0.16837333813387106,0.6478907585109116
100_81,0.24766841484082155,0.11632796091422122,-0.20830000731454015,0.6179417498059281
