type,ICC,F,df1,df2,p,lower bound,upper bound,measure
ICC2,0.4759866433173304,2.867971454954362,79,79,2.483587918765468e-6,0.024846718891845716,0.7681526605854073,37_17
ICC2,0.18692438947924653,1.4597958346322217,79,79,0.04736733292293552,-0.3010338432563009,0.5976976281604475,37_18
ICC2,0.47531565978216034,2.8324059021248535,79,79,3.1760746430200006e-6,0.021446121769287698,0.7680722356420974,37_19
ICC2,0.522292120399386,3.186659013604911,79,79,2.8516614682713583e-7,0.08032826259679644,0.793013071118364,37_20
ICC2,0.364564284578147,2.150733243581032,79,79,4.003287535365871e-4,-0.11523725465987113,0.707296290340936,37_21
ICC2,0.6002212111963772,4.002766670000666,79,79,1.586142182852102e-9,0.19216847612853266,0.8316508059904093,37_22
ICC2,0.4026455610376073,2.348095987156317,79,79,9.70673875528997e-5,-0.07223963353130819,0.729146828508987,37_23
ICC2,0.2014847115242457,1.5106221402579314,79,79,0.03429609474157282,-0.2804237182433637,0.6055429217474395,37_24
ICC2,0.1714162221235668,1.4137571280067474,79,79,0.06299389157991603,-0.31559534161496094,0.5873218781893217,37_25
ICC2,0.24053878449352065,1.64381982208488,79,79,0.014236860039190844,-0.24028409474221935,0.6304351866964206,37_26
ICC2,0.33446977982147075,2.008093980011044,79,79,0.0011132762441299299,-0.14886342023184782,0.689734918448377,37_27
ICC2,0.23689051741201245,1.6221862475440456,79,79,0.01646777518070123,-0.2513306365425741,0.629925454633852,37_28
ICC2,0.3317633550410578,2.026588313435452,79,79,9.753297770371993e-4,-0.14056021892762405,0.6859169693546331,37_29
ICC2,0.4801993171321883,2.8476286575828533,79,79,2.858440031563882e-6,0.02419883535148067,0.771199924558159,37_30
ICC2,0.33293593648552894,1.998212779538547,79,79,0.0011947390194215616,-0.152006930270189,0.6891323267857488,37_31
ICC2,0.3909976596315524,2.284059629048381,79,79,1.5363919727354606e-4,-0.08600071049994114,0.7226116351765941,37_32
ICC2,0.3043210334962334,1.875284201855102,79,79,0.002863028735049754,-0.18279813869067885,0.6720055486610579,37_33
ICC2,0.19719762987435266,1.4937822675517884,79,79,0.03820234090559426,-0.2882672574826658,0.6037021061945411,37_34
ICC2,0.269470519743138,1.7377403021391806,79,79,0.007492878965772845,-0.2195719902350553,0.6507244046887208,37_35
ICC2,0.22074947684222887,1.5751199942410172,79,79,0.022525134030787312,-0.2602321156673874,0.6177677852423606,37_36
ICC2,0.34927472622531475,2.080997072332977,79,79,6.604520241745963e-4,-0.13062616751703887,0.6980595971069201,38_0
ICC2,0.12621028079811447,1.2888802145976133,79,79,0.13077523940137672,-0.3567968677516286,0.5562855925061195,38_1
ICC2,0.3880697982603927,2.2683466093262927,79,79,1.7198383485253268e-4,-0.08943159503495683,0.720959602909278,38_2
ICC2,0.38130491659211824,2.232610139688919,79,79,2.223037879194156e-4,-0.09731598680809862,0.7171281108695039,38_3
ICC2,0.3672768512750708,2.1609401426681205,79,79,3.7202509673467713e-4,-0.11347795913092279,0.709118080189598,38_4
ICC2,0.5100992839340648,3.0893944646956637,79,79,5.477785155116855e-7,0.06487902230216883,0.7866008956999001,38_5
ICC2,0.26858422397615,1.734422835220311,79,79,0.007666562926566346,-0.220483848669021,0.6501739756054897,38_6
ICC2,0.25346692769302176,1.679050767060444,79,79,0.011210246274389315,-0.23590839892135965,0.6407239104736201,38_7
ICC2,0.22555256940460175,1.5970886086157718,79,79,0.019473446338669403,-0.25077021593614146,0.6196933722867088,38_8
ICC2,0.15982653429869506,1.3804607999450067,79,79,0.07704081957434847,-0.3263326649601943,0.5794785128541738,38_9
ICC2,0.3643380405757166,2.1885854087508414,79,79,3.050080775118389e-4,-0.10493322455318489,0.705283597575119,38_10
ICC2,0.3831080390860424,2.24205878292999,79,79,2.0771685968237286e-4,-0.09522027318971223,0.7181513390017541,38_11
ICC2,0.40052083812985334,2.336229392462553,79,79,1.0568178064510957e-4,-0.07476326916412973,0.7279591258709582,38_12
ICC2,0.20631523132204535,1.5288671067515234,79,79,0.030485192368292544,-0.2729605878819816,0.607988313527522,38_13
ICC2,0.25080706036252864,1.6695393058132455,79,79,0.011960136002185548,-0.23859740985678035,0.639049064231407,38_14
