type,ICC,F,df1,df2,p,lower bound,upper bound,measure
ICC2,0.582204514655573,3.8602749055812797,53,53,1.1483873172842364e-6,0.05721554556173486,0.8568013126231585,67_9
ICC2,0.45504823910151226,2.6700496144879056,53,53,2.410332415558637e-4,-0.12318195400044345,0.8033909706075392,67_10
ICC2,0.3539865720130271,2.0959108794876795,53,53,0.0040080896386936685,-0.2404435027138419,0.7561682682875629,67_11
ICC2,0.455246223934555,2.851012738746731,53,53,1.0191509512547728e-4,-0.11432776236178706,0.8042374764567506,67_12
ICC2,0.1089673641343529,1.2445866958138745,53,53,0.21420243686826124,-0.46811384258671546,0.6214481749326393,67_13
ICC2,0.2179988426968601,1.5737008866538849,53,53,0.050938552308256654,-0.355168504360207,0.6815067137743355,67_14
ICC2,0.4759787918231023,2.816639419916084,53,53,1.1987428149633026e-4,-0.09672190883912511,0.812656238230684,67_15
ICC2,0.42234846416837724,2.462294958015954,53,53,6.590452005589719e-4,-0.16295376157073585,0.7885727193237917,67_16
ICC2,0.5816792985027146,3.781020859932218,53,53,1.6009388761413842e-6,0.05040060335709773,0.8569971897029933,67_17
ICC2,0.37614244538146563,2.2058600326454045,53,53,0.002325790861439906,-0.2161215522237462,0.7668890519816671,67_18
ICC2,0.3997427809518268,2.3319049509665146,53,53,0.0012487839227705673,-0.18939162470976748,0.77807591425032685,67_19
ICC2,0.4824077427387751,2.9251736793671927,53,53,7.195009884519065e-5,-0.07721404777549275,0.8144218705430664,67_20
ICC2,0.5369772929787628,3.3194425881758485,53,53,1.1862726479169166e-5,-0.01474458983301373,0.8387268555010197,67_21
ICC2,0.4955601461757015,3.2717818884778,53,53,1.4685350069895253e-5,-0.09702574101543496,0.8274587932327471,67_22
ICC2,0.4003698267149634,2.335389193380854,53,53,0.0012275597733677592,-0.18866947949094587,0.7783699323766349,67_23
ICC2,0.3112792220589178,1.9039344594466314,53,53,0.01035356313393551,-0.28534120335149443,0.7348816719427148,67_24
ICC2,0.39422344374489793,2.3015473764187213,53,53,0.0014501262415727793,-0.19572101848304202,0.7754808185393611,67_25
ICC2,0.3435451836869239,2.0466681792858705,53,53,0.005114967975265268,-0.2516564416851937,0.7510406451677117,67_26
ICC2,0.5625505676504632,3.6247892427133745,53,53,3.1125782447701612e-6,0.028010010610552735,0.8487877917737073,67_27
ICC2,0.6088674443338576,4.1133559992053765,53,53,4.0648340783019366e-7,0.09234920099307699,0.8677823988765587,67_28
ICC2,0.3397938388115782,2.0293567639536207,53,53,0.005572635203399406,-0.25564696013252375,0.749186448970052,67_29
ICC2,0.41655016872170786,2.4278868426753317,53,53,7.797256227482437e-4,-0.1698151098668084,0.7859003533041832,67_30
ICC2,0.47441882434081106,2.805311325108973,53,53,1.2647681309225844e-4,-0.09872203471749455,0.8119714735643228,67_31
ICC2,0.4318107285551617,2.6238501784340515,53,53,3.0099475115768636e-4,-0.13329023349145086,0.7913560784901001,67_32
ICC2,0.19228996704011822,1.4761361359731162,53,53,0.07979232474895351,-0.3982181994955646,0.6708788267335953,67_33
ICC2,0.5615942488033302,3.5619839487525233,53,53,4.081532117878368e-6,0.02056372739019608,0.8488724692999154,67_34
ICC2,0.5131311101048305,3.107882104421647,53,53,3.088611243857008e-5,-0.04769265834427406,0.8286961529974252,67_35
ICC2,0.49533283367523867,2.963007965358634,53,53,6.0305692973709434e-5,-0.07151989119013097,0.8210757735039536,67_36
ICC2,0.38484776390172815,2.2512277198227886,53,53,0.001858690055817552,-0.20636271136976397,0.7710430669516514,67_37
ICC2,0.53552935110829,3.329479779460502,53,53,1.1343081238148354e-5,-0.012733126833983538,0.8377550908666505,67_38
ICC2,0.19094517519756354,1.4720203609049376,53,53,0.08128986017173352,-0.3994015945267846,0.6701129216392554,67_39
ICC2,0.3503693842184395,2.078672635515848,53,53,0.0043653101556558405,-0.2443457350555734,0.7543974365631566,67_40
ICC2,0.23139387485428373,1.602113012852753,53,53,0.0445841263130337,-0.3629512167683134,0.6927183716177656,67_41
ICC2,0.4746244743072802,2.8068008544173333,53,53,1.255878546584052e-4,-0.09845862099773645,0.8120617986905422,67_42
ICC2,0.40535931972608447,2.363375676011132,53,53,0.0010697812761346509,-0.18290076863591934,0.7807036315338851,67_43
ICC2,0.4391616031115224,2.572081732620548,53,53,3.86489661546074e-4,-0.14063299669194376,0.7959985048542997,67_44
ICC2,0.44555666803703037,2.6072216666744525,53,53,3.261240539201306e-4,-0.13491870846010284,0.7991334293003973,67_45
ICC2,0.37740003147581397,2.21233553021342,53,53,0.0022525023711684918,-0.21471894587025606,0.767491160593924,67_46
ICC2,0.45711765755948913,2.684039512151126,53,53,2.2539325922042936e-4,-0.12060159145084609,0.80431455756074,67_47
ICC2,0.46795513280138606,2.7590814671902364,53,53,1.575123066241211e-4,-0.10696092462350502,0.8091242974813432,67_48
ICC2,0.3376148288892033,2.0193912654265342,53,53,0.0058543658358678795,-0.257955769979311,0.7481064941228616,67_49
ICC2,0.32999114098488835,1.9850351594358755,53,53,0.0069387457063556845,-0.2659812889263978,0.7443110461954274,67_50
ICC2,0.2442475398517408,1.6463691558577942,53,53,0.03615914158362839,-0.3509847985691738,0.6997194620381854,67_51
ICC2,0.298491087038413,1.8509972760809603,53,53,0.013429738735697638,-0.2983028415561695,0.7283428660385753,67_52
ICC2,0.33978282991856945,2.0301247849111674,53,53,0.005551491680327849,-0.2551310359565437,0.74910374085434,67_53
ICC2,0.25796812080225695,1.695301989130608,53,53,0.028616810939065165,-0.3379983991635788,0.7070986685206766,67_54
ICC2,0.3888174499741016,2.272344735489015,53,53,0.0016747124522719225,-0.20187377106935614,0.7729265726097176,67_55
ICC2,0.5738634032322186,3.693330765697833,53,53,2.3213142252117586e-6,0.03867676299002426,0.853851643138242,67_56
ICC2,0.4018764336695769,2.3991832772458443,53,53,8.974049594099288e-4,-0.16938713866158775,0.7770281071152472,67_57
ICC2,0.36652779960695087,2.1572024766975795,53,53,0.0029588733896769998,-0.22676588663613764,0.7622631027250228,67_58
ICC2,0.30170490744770556,1.8641186532906369,53,53,0.012592399779938172,-0.2950656048933419,0.7299934670843631,67_59
ICC2,0.3006287576888626,1.8597115222965328,53,53,0.012867754442759885,-0.29615109423276464,0.7294413119399724,67_60
ICC2,0.2676184438877507,1.733213356903245,53,53,0.023838368907003537,-0.32638088021114653,0.7118306066688964,67_61
ICC2,0.44514254065268344,2.648789442212803,53,53,2.6694775285409934e-4,-0.12377047710105003,0.7976887392000439,67_62
ICC2,0.3192850899185965,1.976248725114613,53,53,0.00724673620720732,-0.25494581165317676,0.7356502275164404,67_63
ICC2,0.3937364354910808,2.298895261205453,53,53,0.00146920270347136,-0.1962771844369364,0.7752512208925126,67_64
