idx,subject,acquisition,reconstruction,run,suffix,space,desc,session,task,report_type,chunk,been_on_screen,report,rater,note,usable,dn_action,usable_rev,note_rev,reviewed,idx_fmap,chunk_fmap,from_fmap_corrected_run
34.0,23748,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
35.0,23753,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,1.0,True,1.0,dn,ghosting,True,,,,False,,,False
36.0,23757,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
37.0,23759,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
38.0,23765,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
39.0,23766,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
40.0,23767,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
41.0,23770,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
42.0,23772,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,5.0,0.0,True
43.0,23777,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,6.0,0.0,True
44.0,23778,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
45.0,23780,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
46.0,23783,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
47.0,23798,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,,,False
48.0,23809,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,1.0,True,1.0,dn,,True,,,,False,7.0,0.0,True
0.0,23813,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
1.0,23814,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
2.0,23817,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
3.0,23820,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
4.0,23823,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
5.0,23824,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
6.0,23825,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
7.0,23830,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
8.0,23834,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,2.0,True,1.0,dn,ghosting,True,,,,False,,,False
9.0,23843,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,ghosting,True,,,,False,,,False
10.0,23848,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
11.0,23849,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
14.0,23856,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
15.0,23857,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
17.0,23866,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
