type,measure,ICC,F,df1,df2,p,lower bound,upper bound,10%,90%
ICC3,96_8,0.32215735175146104,2.0382579640879857,56,56,0.03366601073040737,-0.34176484017725695,0.77297233367581,0.4683815499241979,0.18043980147559543
ICC2,96_80,0.2393331000311315,1.7239889298814832,56,56,0.08687606656359116,-0.4019004277351892,0.7316603014797929,0.3861750011262261,0.07690271879060342
ICC3,96_80,0.24530917554379136,1.7239889298814832,56,56,0.08687606656359116,-0.4130119243940053,0.736663060895938,0.3857024283363225,0.06804162884475498
ICC2,96_81,0.41169256307635177,2.593062978797798,56,56,0.00955089886306445,-0.23978131466152808,0.8110485573626459,0.5653623091044011,0.27189266682782876
ICC3,96_81,0.41904535629793777,2.593062978797798,56,56,0.00955089886306445,-0.23638275350482,0.8141974544256296,0.5589962376104087,0.2582926666590066
ICC2,96_82,0.1409107335649652,1.3904066501708596,56,56,0.20378287169422435,-0.4641158324863305,0.6765121550140375,0.2502793807053087,-0.03594337721441865
ICC3,96_82,0.14734610843654047,1.3904066501708596,56,56,0.20378287169422435,-0.4957337453934005,0.6870526115046889,0.2536015110793163,-0.04336970448976227
ICC2,96_83,0.16920168724773776,1.4847266544650717,56,56,0.18880254108143943,-0.46703413135657185,0.6957648355203274,0.32444798067512104,-0.0355353622731335
ICC3,96_83,0.17049207420736945,1.4847266544650717,56,56,0.18880254108143943,-0.4742367690994479,0.6979477244794344,0.32444798067512104,-0.03615562840751402
ICC2,96_84,0.2854349254800504,1.873915398371329,56,56,0.04228042060421409,-0.368182732625173,0.7551922221971245,0.4205801612928889,0.14974946743681544
ICC3,96_84,0.28789452714548364,1.873915398371329,56,56,0.04228042060421409,-0.3763915128218409,0.7578737614085286,0.4205801612928889,0.147757065365243
ICC2,96_85,0.29725730999421146,1.9478063106849628,56,56,0.04907840292335571,-0.3565323345060529,0.7600318359266958,0.47383776635606706,0.15374972906141263
ICC3,96_85,0.2994735175698096,1.9478063106849628,56,56,0.04907840292335571,-0.36264413292191056,0.7622380461639707,0.473726649325888,0.15349961510383836
ICC2,96_86,0.44636573923368394,2.822147476527393,56,56,0.00359899297780145,-0.1987205463706631,0.8255513133888305,0.5948137798490756,0.3456984702927162
ICC3,96_86,0.45710038490690064,2.822147476527393,56,56,0.00359899297780145,-0.19381674777943317,0.8300299345643215,0.5950723266800901,0.33867138942597613
ICC2,96_87,0.2517232936073997,1.7682935231774868,56,56,0.0908652613182806,-0.396877396317069,0.7376358042867273,0.4340151422283854,0.08199954380159535
ICC3,96_87,0.2533283206781081,1.7682935231774868,56,56,0.0908652613182806,-0.40412508372163614,0.739831281494397,0.43301679124806874,0.08044780716607566
ICC2,96_88,0.31268820364169303,2.061471096356355,56,56,0.03995746130282333,-0.33361529592791517,0.7663862964290379,0.4846480310954012,0.17076776694693271
ICC3,96_88,0.32130004226069603,2.061471096356355,56,56,0.03995746130282333,-0.3400521012312343,0.7718794920171332,0.48555569609951926,0.16000687180957804
ICC2,96_9,0.31399423811684946,2.0773161068981136,56,56,0.0408894873453036,-0.33052934467256245,0.7670347034262811,0.4812253905710085,0.16799383988959496
ICC3,96_9,0.3249836338219445,2.0773161068981136,56,56,0.0408894873453036,-0.3362593740472344,0.773404444754096,0.48214486039782456,0.152613277713884
ICC2,96_90,0.2842087653535373,1.9333104478656704,56,56,0.06483198867778679,-0.3625779317451008,0.7528994176148913,0.45355768695244125,0.11131238563683468
ICC3,96_90,0.29032207241097935,1.9333104478656704,56,56,0.06483198867778679,-0.3686377263803101,0.7570882536035939,0.45178664009766234,0.09803498759224943
ICC2,96_91,0.20680745995694552,1.5993919129370342,56,56,0.12968770824439133,-0.432090435347873,0.7146470175824062,0.3636150864600691,0.01320191745584095
ICC3,96_91,0.20875309930209365,1.5993919129370342,56,56,0.12968770824439133,-0.4439270533037212,0.7181933720881302,0.3636150864947123,0.01123273423879842
ICC2,96_92,0.31922786284537263,2.0427568352737224,56,56,0.0306013334847318,-0.3309959323224674,0.7698043659711701,0.464570775328215,0.17047586277820184
ICC3,96_92,0.32281709439278894,2.0427568352737224,56,56,0.0306013334847318,-0.34114556430985143,0.7733755890776988,0.461926262336124,0.16776907252878645
ICC2,96_93,0.2614632343094459,1.7759144794174893,56,56,0.05761008393835624,-0.3874698316259236,0.7433885703486828,0.3934696033657635,0.1319846009686154
ICC3,96_93,0.2648364794943456,1.7759144794174893,56,56,0.05761008393835624,-0.39815984188906656,0.7470909406009245,0.39145697546119623,0.1257549230047824
ICC2,96_94,0.242814490595915,1.722310717925984,56,56,0.0807406174697632,-0.40015433436644327,0.733401986630235,0.3904276792331214,0.09477390723694
ICC3,96_94,0.24692271342526267,1.722310717925984,56,56,0.0807406174697632,-0.412512896535484,0.7378044642387512,0.3898951429225974,0.08934770535865186
ICC2,96_95,0.3678095899527497,2.298097435370101,56,56,0.00871695817444371,-0.27976984563406176,0.7926782290228922,0.49108960299009574,0.2726777110390981
ICC3,96_95,0.3804130014222579,2.298097435370101,56,56,0.00871695817444371,-0.28499254897472476,0.7993900154226573,0.48886278725416216,0.2619697782170545
ICC2,97_0,0.1843018971703099,1.5227517858568795,56,56,0.14333318195929168,-0.43920801705466095,0.7016989614925143,0.34759024779384773,0.03302926656697602
ICC3,97_0,0.189776759690992,1.5227517858568795,56,56,0.14333318195929168,-0.4614510755290831,0.7091992205282849,0.34874210014580637,0.02634151871399756
ICC2,97_1,0.24398802664212987,1.7325745373668082,56,56,0.09161686036140376,-0.4050166496409563,0.7343485825792705,0.41712128536361337,0.08304487685539488
ICC3,97_1,0.24560749706658316,1.7325745373668082,56,56,0.09161686036140376,-0.41188706593331414,0.7364686259082748,0.41639263459341264,0.07962786721614026
ICC2,97_10,0.3181121136223058,2.0458048868047203,56,56,0.03303526694600456,-0.3261616114719483,0.7683976491338832,0.4774876734664416,0.17598649189094304
ICC3,97_10,0.32379860138801947,2.0458048868047203,56,56,0.03303526694600456,-0.34005632824968646,0.7736739782660932,0.4748486059937021,0.1732360460742795
ICC2,97_11,0.3717795546852714,2.359436767638835,56,56,0.01788198831294523,-0.276735266201962,0.7936111229890489,0.5379045105314981,0.24453561774828783
ICC3,97_11,0.3822311093103757,2.359436767638835,56,56,0.01788198831294523,-0.2781210713591303,0.7988583354665527,0.534318489057106,0.23208739577062695
ICC2,97_12,0.34010394227388746,2.1626777938907855,56,56,0.02419991618469398,-0.31022189655585053,0.7798924944387686,0.49584853143412344,0.2242856228551036
ICC3,97_12,0.34861553690487584,2.1626777938907855,56,56,0.02419991618469398,-0.31531318882031084,0.7847691384597748,0.49626240491563944,0.21781105467058404
ICC2,97_14,0.1632169177881963,1.4614324627762836,56,56,0.173112022602708,-0.4437436019872457,0.6874606321992958,0.32438020673433354,0.00931014002411267
ICC3,97_14,0.1693994481407226,1.4614324627762836,56,56,0.173112022602708,-0.4776700100919882,0.6985076141917882,0.3288932264512189,0.00366945675548574
ICC2,97_15,0.3904183687402491,2.4394752345500614,56,56,0.01185012334415873,-0.26101940728207995,0.802161749673128,0.5543720529229872,0.2874624917064711
ICC3,97_15,0.3989347308546991,2.4394752345500614,56,56,0.01185012334415873,-0.2612656565049888,0.8062712392486379,0.551206934795037,0.2742825654090444
ICC2,97_16,0.2279287829024827,1.6761775677521535,56,56,0.10769950623366324,-0.4173865152762265,0.726049648656222,0.4114602643261599,0.06834387691974195
ICC3,97_16,0.22971069135914549,1.6761775677521535,56,56,0.10769950623366324,-0.4256788089859645,0.7285923041174278,0.4112232012470388,0.06644903854325265
ICC2,97_17,0.23787943779483312,1.7011481400680954,56,56,0.0930932996672868,-0.4104864809985165,0.7315831828309494,0.42535562387176806,0.11103914752723867
ICC3,97_17,0.2398376106034672,1.7011481400680954,56,56,0.0930932996672868,-0.418075339989344,0.7340030963289594,0.4253438890736224,0.10698669903011376
ICC2,97_18,0.3461377835601764,2.3130450717615747,56,56,0.02432933436288381,-0.29477698037838657,0.7827823567335502,0.5367289576189389,0.23469006397373093
ICC3,97_18,0.37176251691573714,2.3130450717615747,56,56,0.02432933436288381,-0.28822158991339353,0.7940193491362317,0.5411659092973214,0.22341453318982715
ICC2,97_19,0.32288712516150214,2.0364389009000683,56,56,0.02924580488907901,-0.3320562534092494,0.772290971617961,0.472861069347937,0.211626171601845
ICC3,97_19,0.32565751381534364,2.0364389009000683,56,56,0.02924580488907901,-0.33999945805914134,0.7749838025730539,0.4715327041667756,0.20651002253640333
ICC2,97_2,0.3263097808216529,2.112329906249268,56,56,0.03326528289070512,-0.3209395228134106,0.77288572613577,0.49460985175844846,0.19138735151750083
ICC3,97_2,0.3346011335122765,2.112329906249268,56,56,0.03326528289070512,-0.3277499562332844,0.7780636119146165,0.492244304583921,0.1814955649874431
ICC2,97_20,0.3127782388668971,2.011116860392836,56,56,0.04132391015167198,-0.34139726776957585,0.7672888930258712,0.4783666941614572,0.1832798536725603
ICC3,97_20,0.3154515220802679,2.011116860392836,56,56,0.04132391015167198,-0.34773896190087344,0.7696336271381793,0.4771214850893696,0.17491922482157618
ICC2,97_21,0.31252886347155495,2.0777333569510987,56,56,0.03087742960394207,-0.31609867115775553,0.7651896091257427,0.47084490817392793,0.1967680070891684
ICC3,97_21,0.3317359603815682,2.0777333569510987,56,56,0.03087742960394207,-0.33261309355345414,0.7773000715798274,0.473917866819446,0.19210373662035932
ICC2,97_22,0.33198458799110425,2.084973482483517,56,56,0.02835913564457971,-0.32457740532093715,0.7765028500999936,0.4914207547599566,0.21724401835492124
ICC3,97_22,0.3340590065766192,2.084973482483517,56,56,0.02835913564457971,-0.3306964871703441,0.7784761780097436,0.4898829168324794,0.21448024035713165
ICC2,97_24,0.25491627618729773,1.7793947848913445,56,56,0.07635924702400886,-0.3864403191656202,0.7384738966358091,0.4231949375997493,0.1065132465710854
ICC3,97_24,0.2595050421888422,1.7793947848913445,56,56,0.07635924702400886,-0.4001347237118903,0.743450460301979,0.4211733618920374,0.10276676200209556
ICC2,97_25,0.17511114522364132,1.4923879263094866,56,56,0.15978484494395392,-0.4505157576841573,0.6973038487894898,0.3531743514058816,0.02384265445312339
ICC3,97_25,0.17945569445762546,1.4923879263094866,56,56,0.15978484494395392,-0.4695428740257611,0.7037047261163899,0.3542754357934635,0.01844740553304119
ICC2,97_26,0.2175641412238516,1.6479141931771135,56,56,0.1183347239625292,-0.4177010263420155,0.7192444356754147,0.3960344489723104,0.0401509645270782
ICC3,97_26,0.2213643598472279,1.6479141931771135,56,56,0.1183347239625292,-0.4326146372689078,0.7243134648130205,0.3939980561185198,0.03285803641195031
