type,measure,ICC,F,df1,df2,p,lower bound,upper bound,10%,90%
ICC2,40_3,0.33727087407150796,2.195268022860099,41,41,0.04408750129827067,-0.4002264741566483,0.8221494989195596,0.5196068170031702,0.18266910174183296
ICC3,40_3,0.34828823832589506,2.195268022860099,41,41,0.04408750129827067,-0.4230921579152432,0.8288975409343448,0.5167792837181417,0.18046581657546937
ICC2,40_30,0.32249439197929436,2.099448967817298,41,41,0.06088935980021447,-0.4314488170286037,0.8177616176289337,0.5398663322279355,0.18397365356045853
ICC3,40_30,0.3253644402109638,2.099448967817298,41,41,0.06088935980021447,-0.44244840746243014,0.8201307822463003,0.5380511117699541,0.1781842640969977
ICC2,40_31,0.39507971700382744,2.4856819966348924,41,41,0.02508501922746208,-0.3643014232037418,0.8441305450102333,0.5715411882345418,0.23439348367715016
ICC3,40_31,0.3977140650863,2.4856819966348924,41,41,0.02508501922746208,-0.3733756297911928,0.8460137203612875,0.5700922804982244,0.23303346558249216
ICC2,40_32,0.26409475511721153,1.8285532643815925,41,41,0.09974534964779902,-0.4782518653393272,0.7948935096724037,0.4713946972162758,0.1072856594347453
ICC3,40_32,0.26703841969093595,1.8285532643815925,41,41,0.09974534964779902,-0.4941186241624567,0.7983161291706843,0.4713899164787168,0.10331753503440916
ICC2,40_33,0.34198332666608994,2.2182918897485138,41,41,0.04693425943299275,-0.4033880871766159,0.8240005597521947,0.5459128543066984,0.1971445328613687
ICC3,40_33,0.34860403065989004,2.2182918897485138,41,41,0.04693425943299275,-0.4209568387256198,0.8286508885139812,0.5440693039542674,0.18803851824706955
ICC2,40_34,0.05271840580053411,1.1312747131478864,41,41,0.3890410794080054,-0.6347618091730522,0.7040269580946432,0,-0.173764656537411
ICC3,40_34,0.05338559012375288,1.1312747131478864,41,41,0.3890410794080054,-0.6487640772931837,0.7070295597348424,0,-0.17528078312080486
ICC2,40_35,0.12394344337867284,1.3337827383440728,41,41,0.2649113752035676,-0.5820125114311039,0.7356954126397538,0.1962686454529572,-0.0953912067257099
ICC3,40_35,0.12573345161278607,1.3337827383440728,41,41,0.2649113752035676,-0.6008626308807808,0.7398064476351937,0.19626864548421527,-0.09908978679621518
ICC2,40_36,0.06990612046409217,1.1834221897420911,41,41,0.3620127031918542,-0.6187023086928958,0.710782789083231,0.01837052235142501,-0.19763769899154304
ICC3,40_36,0.0707834516934699,1.1834221897420911,41,41,0.3620127031918542,-0.6367792970892412,0.7147150858939381,0.01837052235142501,-0.20206385411575148
ICC2,40_37,0.22082146249093368,1.6639085611764155,41,41,0.14339605933149366,-0.5171539425411475,0.7779931786139896,0.407043730032932,0.03877975273821829
ICC3,40_37,0.2226780248810316,1.6639085611764155,41,41,0.14339605933149366,-0.5289371368970418,0.7805053474744392,0.4061908840788892,0.03175574718501295
ICC2,40_38,0.2666452005843243,1.8667656864738893,41,41,0.10613977680452806,-0.47740136204550865,0.7960246040727179,0.48760703703979547,0.0879385358243435
ICC3,40_38,0.27055316974109556,1.8667656864738893,41,41,0.10613977680452806,-0.4885406465761609,0.7989065550788704,0.4870964504676853,0.07912981574500574
ICC2,40_39,0.4152718951562563,2.7075614366396197,41,41,0.02090883236055144,-0.3388099205347692,0.8507045036641123,0.6535516052221264,0.2956498573318116
ICC3,40_39,0.4232665690349895,2.7075614366396197,41,41,0.02090883236055144,-0.34225042443838644,0.8539972063315538,0.6515111154806679,0.2798463954233341
ICC2,40_4,0.21311162367934652,1.666221567337285,41,41,0.159527939273772,-0.5033511153197802,0.771413370356305,0.4020846885523791,-0.01495565077994784
